name,id,x,y,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U70,U71,U72,U73
11 Com b,1,278855.5698,4534383.776,2369,147,139,114,158,127,127,205,242,216,191,204,117,111,75,76,52,35,21,10,2,1,1089,1123,2174,88,40,20,6,20,9,24,17,20,3,1,20,23,7,14,2,1,21,1,4,7,4,0,0,1,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1034,1088,33,1,55,35,85,443,1168,252,386,913,717,84,104,223,437,20,43,26,9,20,20,135,264,220,43,8,17,0,38,182,165,131,165,25,0,0.407124682,0.25,0.157124682,0.241340227,15310.02668,6946,26218,120410,2992,665,1977,0,1516,12892,14352,408,0,0,1,104,1409,26,6,986,1714,27,13,605,42.6,14.34957266,241.3000024,73,1147.441829,95.9692407,0,683.4294041,31.47345474,156.5846407,154.2641327,25.72095595,0,0,0,56,37,99,325
11 Oph b,2,276171.3256,4545635.113,821,16,21,17,36,28,41,64,49,55,39,66,44,70,50,79,47,47,34,14,5,0,299,365,669,45,5,22,0,21,1,20,0,20,1,0,20,19,7,12,5,2,16,0,5,2,2,2,0,1,0,1,3,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,285,0,11,106,25,58,111,379,212,36,623,350,105,160,255,20,20,0,0,0,20,20,30,105,153,0,0,0,0,0,125,95,60,0,0,0,0.81420765,0.128415301,0.68579235,0.2714073,21260.51434,4943,5825,50357,460,401,0,0,0,0,0,0,0,0,0,5,619,6,2,445,579,3,1,275,42.6,14.34957266,241.3000024,73,5695.530632,1535.341256,40.78307432,1180.655484,146.9629132,1212.21907,1510.879111,68.68972386,0,0,0,24,134,253,119
11 UMi b,3,276221.8581,4529739.575,1122,34,47,28,51,48,73,91,60,92,61,99,66,81,61,75,43,47,41,16,8,1,426,539,896,119,28,20,3,21,2,22,3,21,13,0,23,42,7,29,8,5,34,0,1,1,1,3,2,0,0,21,1,0,0,12,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,427,452,0,10,75,40,65,212,515,199,91,803,480,40,275,270,55,60,115,25,0,20,20,30,215,133,0,0,0,0,0,145,130,100,30,15,10,0.619127517,0.17114094,0.447986577,0.270822893,17659.57291,2786,5408,53953,482,76,0,0,0,62,3622,0,0,0,1,15,758,5,3,547,749,12,6,308,42.6,14.34957266,241.3000024,73,4004.018039,962.0129722,15.60056664,1125.50576,43.17088025,860.3450717,961.1952518,36.18753619,0,0,0,4,31,59,100
14 And b,4,481873.5746,4243608.914,1803,80,88,98,123,122,125,157,117,137,142,180,111,83,45,73,52,44,21,5,1,0,841,805,1680,16,3,20,0,20,1,20,0,21,1,0,20,12,8,4,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,902,11,76,103,79,198,279,911,88,248,808,620,50,130,215,190,100,30,10,115,20,20,70,35,173,100,90,45,65,55,80,200,150,120,20,0,0.405636208,0.22117848,0.184457728,0.155861147,11438.86254,3917,7042,131665,18311,498,3168,438,2428,0,15786,610,453,0,0,10,1316,7,9,1081,1318,28,0,733,45.8,17.9376667,264.6000195,44,1921.731549,615.2607008,8.972770805,720.7905861,0.239049269,133.6129461,435.2468597,7.608636268,0,0,0,0,0,0,482
14 Her b,5,286473.5416,4723390.802,2047,129,92,73,92,81,112,199,224,198,134,177,131,140,61,75,41,42,38,9,0,0,932,958,1866,74,26,20,2,21,1,20,14,20,8,0,22,11,7,11,0,0,29,1,0,8,5,1,1,3,1,0,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,830,861,15,41,143,25,71,248,1275,225,203,1088,855,50,175,285,440,35,85,40,15,20,20,30,245,448,75,0,0,0,0,160,360,180,110,0,0,0.387665198,0.21071953,0.176945668,0.241169319,17351.61514,12357,16932,127287,80061,14432,4154,0,1961,0,4959,0,0,0,1,17,1486,37,27,1005,1489,20,17,650,41.7,12.25551602,251.4000024,70,1038.644375,214.8548644,0,367.6493906,4.130246854,133.5549497,306.4928867,11.96203728,0,0,0,2051,16,41,1028
16 Cyg B b,6,557015.6396,4728183.664,261,0,9,5,23,5,6,35,6,31,11,39,12,30,3,27,4,8,6,2,0,0,68,36,128,26,24,20,18,20,0,20,0,20,6,0,20,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,38,0,0,16,25,35,61,98,7,35,193,95,45,45,65,20,30,0,0,0,20,20,30,20,8,10,0,0,0,15,20,10,10,0,0,0,0.444444444,0.097222222,0.347222222,0.226166567,18386.45119,0,5211,13782,3020,237,398,0,0,58,215,842,48468,16989,0,3,81,0,2,50,84,0,0,28,44.2,12.62809365,691.8000195,111,68.18186866,0,0,0.03184444,0,0,66.59778386,1.552240358,0,0,0,0,0,0,15
18 Del b,7,444235.955,4474275.298,1874,92,101,76,88,76,83,163,152,153,119,138,102,128,121,135,68,43,20,12,5,0,821,896,1649,118,40,22,1,26,7,20,5,23,11,4,20,5,7,0,2,0,43,0,2,0,9,3,2,5,2,1,3,1,1,23,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,7,710,802,27,54,125,41,57,142,446,915,273,703,655,20,20,355,135,35,75,55,40,20,20,30,100,158,0,0,100,0,60,150,205,75,100,60,15,0.595724907,0.243494424,0.352230483,0.055728519,49676.90361,4354,16914,88186,27781,96016,32472,0,0,0,9790,1422,0,0,6,40,1290,15,7,1031,1328,23,7,747,45.2,15.91090344,231.1000006,58,4163.544027,435.9604068,17.58710974,1962.735852,20.90014175,1233.600089,440.1991511,52.56127705,0,0,0,2393,0,0,5344
1RXS 1609 b,8,443601.9521,4470683.136,2266,123,131,137,120,104,86,145,165,181,149,195,133,141,107,129,75,72,42,25,5,2,1000,1109,2011,148,68,37,1,27,9,21,5,27,6,1,22,10,7,2,0,0,56,6,9,3,5,0,4,0,10,0,1,0,0,10,0,0,1,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,4,0,0,5,0,3,1056,830,23,67,133,64,46,162,588,809,596,1023,905,20,90,465,235,70,35,60,70,20,60,140,55,128,35,90,150,60,215,180,150,205,90,150,80,0.631090487,0.296983759,0.334106729,0.068453954,44241.90702,1820,7106,138532,3356,26171,1198,0,61,0,2596,0,0,0,4,22,1519,22,3,1189,1569,22,3,895,45.2,15.91090344,231.1000006,58,3126.516779,304.4206402,0.253530224,1335.122439,0.746651756,1159.878525,313.3901617,12.70483198,0,0,0,652,0,0,1330
1SWASP J1407 b,9,275509.1085,4529013.806,1535,34,53,53,58,68,55,98,73,106,87,134,93,123,88,120,106,81,56,31,13,6,596,782,1392,36,4,20,0,21,1,20,1,20,0,0,20,5,7,5,0,0,23,1,5,4,3,0,0,2,0,5,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,335,809,11,53,170,25,46,146,552,672,94,1038,730,185,115,515,100,65,55,15,20,20,30,55,110,208,195,90,35,25,10,215,375,45,35,10,0,0.791937581,0.172951886,0.618985696,0.273740041,27606.7041,12685,19109,115032,0,5456,824,0,207,707,708,0,0,0,7,41,1245,16,6,975,1195,15,7,614,42.6,14.34957266,241.3000024,73,9462.234046,1792.746472,618.0052705,2135.680994,832.4911393,2093.315242,1902.037393,87.95753477,0,0,0,323,260,490,493
24 Sex b,10,254594.4587,4546507.47,545,4,10,6,32,18,22,53,20,48,25,61,39,53,26,56,32,23,13,2,3,0,207,181,435,3,3,20,2,20,0,20,1,20,0,0,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,211,0,5,41,29,61,142,237,29,47,383,240,80,60,155,25,65,0,10,20,20,25,45,55,53,50,25,10,0,0,55,55,50,25,5,0,0.583673469,0.053061224,0.530612245,0.206463909,17764.2222,467,111,23060,12632,0,858,0,97,0,0,0,0,0,0,5,393,5,6,313,369,9,3,190,44.4,13.07736488,228.6000024,51,114.0365071,59.32257966,0,0,0,0,52.90927445,1.804652967,0,0,0,0,0,0,85
24 Sex c,11,276609.6854,4541763.867,1237,27,30,27,46,41,52,88,67,79,52,93,83,115,99,101,93,79,41,20,5,0,481,599,1093,37,9,20,0,20,1,21,0,20,7,2,20,5,7,3,1,1,16,0,4,0,0,0,0,0,0,3,0,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,404,553,31,15,77,25,119,200,381,348,164,808,670,55,80,460,120,20,40,20,50,20,20,30,90,263,90,0,0,0,0,195,215,55,150,0,0,0.830508475,0.130508475,0.7,0.273962251,22791.19905,9978,25648,78271,296,1335,0,926,0,0,302,0,0,0,4,24,983,9,12,724,958,18,2,447,42.6,14.34957266,241.3000024,73,7387.698447,1780.025358,128.6748592,1550.32357,250.5904463,1466.335593,2128.671614,83.07700615,0,0,0,79,55,104,266
